,csat,origin,comment,removed
332,3,PTA Check Income Tax,My employments are shown in my history but not shown in my current year totals.  So I was unable to correct my tax codes.   I have added them both as new employers & hope this will enable to to correct my tax code.  One has the correct BR tax code the other is incorrectly using 1257L [REMOVED].,1.0
333,5,PTA P800,Very easy to use,0.0
334,5,PTA Repayments,I am satisfied because it is a very smooth process and all the steps were explained in a very good way.,0.0
335,1,PTA Repayments,"I understand you need security but this is long winded and totally time wasting.  Your site doesnt always work properly or recognises, so, information has to be put in again and again, even after passing security levels.",0.0
336,4,PTA PERTAX,"Found what I wanted, Tax refund, I had to look a little before finding the right place so I could claim.",0.0
337,4,PTA PERTAX,"Being autistic, I find some of the online sign-in processes mildly challenging, I don't always have the right ID immediately to hand so I get a bit anxious about inputting the data correctly, as I've been locked out of my account in the past - but given the increase in cyber crime, I really appreciate the stringent processes and procedures in place. I feel, on the whole, that my data is secure. Thank you.",0.0
338,4,PTA Check Your State Pension,Simple to understand,0.0
339,2,PTA PERTAX,[REMOVED] having difficulties. Debit card and direct bank payment did not work and even setting up direct debit took 3 attempts. The whole process took two massively frustrating hours.,1.0
340,5,PTA Check Your State Pension,I was able to find everything I needed today.,0.0
341,4,PTA Repayments,"It was a bit of hassle setting up with the app, but fairly easy and convenient not to have to enter too many details manually.",0.0
342,3,PTA P800,"I decided I'd prefer to pay the owed tax now, but could not.",0.0
343,5,PTA Repayments,No problems. Very straightforward.,0.0
344,5,PTA Repayments,i have limited access and have to use a public computer is the main reason,0.0
345,2,PTA Repayments,I could not access my  Personal  [REMOVED] calculation for  2022-23 and change some of the figures you have included on the form P800 you sent me. If I could have done this the refund would have come to  <moneyvalue> according to my calculation using the correct figures but in desperation I have accepted your refund of <moneyvalue> for a quiet life.,1.0
346,5,PTA P800,Very easy to navigate around your platform. Thank you for easy transaction.,0.0
347,5,PTA Check Your State Pension,I wanted to check my [REMOVED] contributions abd uf I had a shortfall. I don't think I have?,1.0
348,1,PTA PERTAX,My tax calculation letter told me I could use my personal account to change the residence details you incorrectly hold for me but it was not clear where I could do that once I logged in and I failed.,0.0
349,5,PTA Repayments,"It was easy, dont change anything",0.0
350,5,PTA Check Income Tax,Because it was East,0.0
351,4,PTA PERTAX,I am not very good with computers or reading,0.0
352,5,PTA Repayments,Easeily accessed and codes sent in a timely manner,0.0
353,5,PTA Check Your State Pension,"Easy access, clear language, fast site",0.0
354,4,PTA PERTAX,A long process,0.0
355,4,PTA PERTAX,I wanted to write to HMRC regarding my state pension.  No where could I find the option to communicate in writing with yourselves.    I have lived outside UK since November 2018 and I do not get the annual state pension increase while I am in India.  I  believe that HMRC does not take this fact into account when my tax code is decided,0.0
356,5,PTA Repayments,WEB PAGES ARE VERY CLEAR AND SIMPLE TO UNDERSTAND,0.0
357,2,PTA PERTAX,Need to change my [REMOVED] number ?  Unable to do so !,1.0
358,2,PTA Check Your State Pension,would have been good to be able to click a button and pay online NHI from years not paid but this is not available by the looks of it,0.0
359,4,PTA PERTAX,online payments were not available,0.0
360,4,PTA Repayments,"I am relatively recently immigrated to the UK and still battling a bit to find my way around the various government, civil and banking institutions online ways of working. I'm sure I will get there.",0.0
361,3,PTA Check Your State Pension,An OK experience,0.0
362,5,PTA Trusted Helper,questions and explanations what was required were very clear,0.0
363,2,PTA PERTAX,"Tried to claim refund online and almost had to do a new self assessment.
I have a refund notification telling me what to claim",0.0
364,5,PTA Check Your State Pension,Because it was genuinely very easy!,0.0
365,5,PTA Repayments,Details easy to follow and quick,0.0
366,5,PTA P800,"I found it easy and very straightforward and were promoted at every step of the way as to what to do, thank you.",0.0
367,5,PTA Check Income Tax,no issues when looking for tax and Pension status,0.0
368,5,PTA Repayments,Simple to use online to request the refund. Thanks.,0.0
369,5,PTA Check Income Tax,Clear instructions are provided at every stage.,0.0
370,5,PTA Check Income Tax,such a simple and quick process,0.0
371,4,PTA Check Your State Pension,The site is no user friendly go older people who are not into technology,0.0
372,5,PTA Repayments,everything was set out in a way it was easy to follow,0.0
373,5,PTA Check Income Tax,Simple instructions and fast responding web pages,0.0
374,4,PTA PERTAX,The site works well,0.0
375,5,PTA Repayments,Very easy to use,0.0
376,5,PTA PERTAX,Easy to navigate around when you know what your doing,0.0
377,5,PTA Repayments,Took less than 1 minute,0.0
378,2,PTA PERTAX,"Unable to do what was needed.although access code received, still unable to confirm my identity",0.0
379,3,PTA Repayments,Once signed into my account it should be possible to request my tax refund without having to go to a different URL and sign in again.,0.0
380,5,PTA PERTAX,VERY USER RIENDLY,0.0
381,4,PTA PERTAX,Simple to understand and update,0.0
382,2,PTA Check Income Tax,sent a letter April 2023 still no reply,0.0
383,5,PTA PERTAX,"I was doing something which I had never done before. I find I have to do something once, to know how to do it easily.",0.0
384,4,PTA P800,[REMOVED] refund for last year was easy- not sure why it was not sent earlier though.,1.0
385,3,PTA Check Your State Pension,found the question about bank address confusing and I think you mean my address but still not 100% sure I filled this in correct,0.0
386,4,PTA Repayments,Instructions were easy to follow page by page,0.0
387,4,PTA PERTAX,could have been easier but I forgot my password and had to re-identify myself!,0.0
388,4,PTA PERTAX,There were lots of steps to go through,0.0
389,5,PTA Repayments,I was worried about doing this but it was very straight forward.,0.0
390,5,PTA Repayments,Easy if you have gateway difficult if not,0.0
391,5,PTA PERTAX,I was able to complete my tax return.,0.0
392,2,PTA PERTAX,"Easy to fill in all the info for marriage allowance, but the final screen is still not accepted.",0.0
393,3,PTA Check Income Tax,System is clunky in parts,0.0
394,5,PTA Check Income Tax,very simple system to get round. However in the section re other could be more detailed as it does not explain where the other in come is from.,0.0
395,2,PTA Check Your State Pension,My details were being updated.,0.0
396,5,PTA Check Your State Pension,because it was easy to use,0.0
397,5,PTA Repayments,So easy and quick,0.0
398,5,PTA Check Your State Pension,Was sorted very easy,0.0
399,1,PTA P800,"It did not provide me the option to paying my outstanding tax owed on line, the site stated this option was currently not available.",0.0
400,3,PTA PERTAX,"OK with the process...
... But, better if confirmation by email was issued to say a one-off payment by [REMOVED] had been set up.",1.0
401,4,PTA PERTAX,"You do not know what information is needed to hand before starting the process and having just moved house finding the details needed was not the easiest.  However, the site is clear and simple to navigate through.",0.0
402,5,PTA Check Income Tax,It was very easy to set up,0.0
403,5,PTA Repayments,Easy to follow,0.0
404,3,PTA PERTAX,Some questions are difficult to answer as I don't have enough knowledge on the self assessment,0.0
405,5,PTA PERTAX,Once set up the website is easy to navigate,0.0
406,4,PTA PERTAX,Not much to enter this time.,0.0
407,5,PTA Repayments,I followed the instructions via the letter given to me and found that the website was easy to navigate and that I could complete the task which I had set out to do.,0.0
408,5,PTA PERTAX,Very straightforward instructions,0.0
409,5,PTA Track Your Form,It did what it said on the tin,0.0
410,5,PTA Repayments,"very easy to use the web site and clear, easy instructions",0.0
411,1,PTA Repayments,Site currently not working.,0.0
412,5,PTA Check Your State Pension,Checking on what I need to do to top off my pension,0.0
413,5,PTA Check Your State Pension,Because it was easy,0.0
414,3,PTA Check Income Tax,"The website overall is not intuitive. And some questions, e.g. the P45 questions don't make sense to ask someone who doesn't work, but the question is asked in such a way that it makes it seem like I should have one. Not just that it is being asked as a blanket question.",0.0
415,5,PTA Check Income Tax,Reasonably straightforward. Link to identity app worked well,0.0
416,4,PTA PERTAX,Instructions are easy and straightforward to follow to achieve required result.,0.0
417,3,PTA Check Income Tax,I needed to replace Epay me with Sanza/TRADEWIND but wasnt able to do so,0.0
418,2,PTA PERTAX,I wanted to know if my application to pay voluntary class 3 national contributions was received and dealt with but I couldnt see anything on the website.,0.0
419,5,PTA Marriage Allowance,The screens were easy to follow and the instructions were clear.,0.0
420,1,PTA PERTAX,Cant find tax refund claim info,0.0
421,1,PTA PERTAX,I wanted to claim my tax refund but ca't find where to do it.,0.0
422,5,PTA Repayments,Clear steps in completing the online details required,0.0
423,3,PTA PERTAX,Couldnt find what I was looking for,0.0
424,5,PTA Check Your State Pension,Because it was easy to use,0.0
425,1,PTA PERTAX,Online payment of income tax owed unavailable at this time?,0.0
426,3,PTA Check Income Tax,Wanted to download my pension page but could not.,0.0
427,5,PTA Repayments,"The service worked as I had hoped. I filled in the boxes and all went very smoothly. The result came up at the end, to say all had gone through. The result was good.",0.0
428,5,PTA Repayments,Because it was easy,0.0
429,5,PTA Tax Credits Service,I find it very easy the whole process and managed to finish off effortlessly.,0.0
430,4,PTA Repayments,Just the time it takes all the security but easy enough once you get through all that,0.0
431,3,PTA Repayments,"Last year, I simply entered my national insurance number and address, then received a cheque by post within a few days. This time, I have had to spend 10-15 minutes inputting personal details before I got to the point where I could request the refund. I understand that safety is important and verification is required, but there must be an easier, less time consuming way for this to happen.
That said, I do like that all tax related things can be found in 1 convenient place and I can track the status of my refund easily.",0.0
432,5,PTA Repayments,"Clear, quick and simple process",0.0
433,5,PTA PERTAX,Everything was explained well and easy to do.,0.0
434,5,PTA Check Your State Pension,I wanted to check any gaps I had in my national insurance contributions and the information provided was clear and provided all I needed to know. Thank you,0.0
435,1,PTA PERTAX,Can't see option to claim rebate due.,0.0
436,4,PTA P800,I was able to achieve my goal,0.0
437,4,PTA Check Income Tax,It was easy to do what i wanted to do.,0.0
438,4,PTA Repayments,not sure why this could not be done automatically,0.0
439,5,PTA Check Your State Pension,luckily my government gateway number is saved on my computer,0.0
440,5,PTA PERTAX,very clear guidance,0.0
441,5,PTA P800,Easy and simple to do.,0.0
442,5,PTA PERTAX,Nice and simple to change address.,0.0
443,4,PTA PERTAX,The scan took a bit time and the app was good,0.0
444,4,PTA Check Your State Pension,Because it was neither easy or difficult,0.0
445,3,PTA Check Your State Pension,I paid in extra NIS for 6 years. This payment is still not showing.  Payments were made for year's 2006 - 2010 and for 2023/4 this current year.,0.0
446,5,PTA Track Your Form,it was straight forward,0.0
447,5,PTA Repayments,"Very easy, the steps were straight forward",0.0
448,2,PTA PERTAX,"Error message... Sorry, there is a problem with the service

Tried many times and same result",0.0
449,3,PTA P800,Did not recognisePassport number!,0.0
450,5,PTA PERTAX,Because you asked and it is the truth!,0.0
451,3,PTA Check Income Tax,Because I had to open up an account with my passport and I needed more information how to use ie has my photo working or not? Dont know tell me.,0.0
452,5,PTA Repayments,"I used my saved log in details  and got the code by phone, so everything went smoothly and didn't take much time",0.0
453,5,PTA Check Your State Pension,"because it was easy, had everything to hand",0.0
454,2,PTA Check Income Tax,"i wish to reallocate my tax free allowance between two employers, i was unable to do so",0.0
455,5,PTA Check Your State Pension,I got a little confused with the email verification and a little bit worried that something tries to direct me to a what looked like a tracking site but there seemed to be a security check that gave me the option to go to HMRC tax services. I would like to find out more about this to understand if there is any threat or risk.,0.0
456,1,PTA PERTAX,"Just asked questions and it would not accept the answers had to register again, I only want to claim a rebate.",0.0
457,5,PTA Check Your State Pension,quick to log in and see what I wanted to see.,0.0
458,3,PTA PERTAX,A lot of personal questions when it could be more simplified.,0.0
459,5,PTA PERTAX,Clear instructions provided,0.0
460,5,PTA PERTAX,My partner works for HMRC so she helped me as knows what she is doing,0.0
461,5,PTA Check Your State Pension,"Clearly set out, and clear, easy to understand language used.",0.0
462,3,PTA Track Your Form,Because i couldnt find any updates,0.0
463,4,PTA PERTAX,Difficult to understand some instructions to set up account,0.0
464,5,PTA Repayments,it took me 5mins to deal,0.0
465,2,PTA PERTAX,I followed the instruction received in an email but the relevant options weren't showing.,0.0
466,5,PTA Marriage Allowance,No problems whatsoever,0.0
467,3,PTA PERTAX,HRMC personnel details not up to date with maiden name.,0.0
468,3,PTA Repayments,Had a number of issues proving who I was.,0.0
469,5,PTA PERTAX,Easy to use,0.0
470,1,PTA PERTAX,Resetting contact number for access code as cannot share childcare account - locked out of gouvernement gateway for just two years as a result.,0.0
471,5,PTA Check Your State Pension,Clear information provided.,0.0
472,1,PTA PERTAX,"Your letter said Go to www.gov.uk/<postcode>fund - this page seems not to exist.
I could not request a refund on a desktop computer.
Having installed the mobile app it took a long time to find the correct menu steps among many possibilities.",0.0
473,5,PTA Repayments,It was straightforward,0.0
474,5,PTA Repayments,Easy to access/make claim,0.0
475,4,PTA Tax Credits Service,clear and straightforward process to work though i feel,0.0
476,4,PTA Check Income Tax,Straightforward  - Even though the result was unwelcome,0.0
477,4,PTA Check Your State Pension,"I do have computer knowledge, would not be so easy for older people",0.0
478,4,PTA Check Your State Pension,"looking for NI contributions since starting work, not obvious this was in the pension section",0.0
479,5,PTA Repayments,SO MUCH QUESTIONS,0.0
480,4,PTA Check Your State Pension,Reasonably easy to follow,0.0
481,5,PTA Check Your State Pension,Fairly easy to use the filing system,0.0
482,4,PTA Repayments,It was not accepting my first entries,0.0
483,4,PTA PERTAX,could not use my identity check at first,0.0
484,5,PTA PERTAX,Logical lay out of website,0.0
485,5,PTA PERTAX,I GAVE THIS SCORE BECAUSE I FOUND THE PROCESS SIMPE AND EASY TO FOLLOW,0.0
486,5,PTA PERTAX,because it was very straightforward to use,0.0
487,1,PTA Check Income Tax,Not able to find out why I am on BR taxcode,0.0
488,5,PTA P800,"Quick,easy and secure",0.0
489,2,PTA PERTAX,It wouldnt allow me to see any child benefit details,0.0
490,4,PTA PERTAX,Payments seem hard to do,0.0
491,5,PTA Tax Credits Renewals,"I am experienced already with your system, it is very clear and safe.",0.0
492,4,PTA PERTAX,The app wouldn't accept the QR code to get to the next section.  We had to start all over again and go with using my Passport and Drivers licence,0.0
493,3,PTA Track Your Form,"Given that I have drawn from my pension no more then the maximum allowed under the standard personal allowance, and as my tax affairs are very straightforward, it would be easier if my private pension provider could have authority to pay gross without the deduction of tax to avoid the need for me to have to submit a refund request.",0.0
494,1,PTA Track Your Form,"I have submitted a claim in January & informed this should be dealt with by June it is now July & have no idea when the claim will be resolved.
I have a tax owing to my wifes account which needs to be paid by end of July but I doubt you will wait for your money until I am able to deal with it!
This service is totally inadequate!
I would appreciate a reply.",0.0
495,4,PTA Repayments,Because you asked.,0.0
496,5,PTA Repayments,It was easy,0.0
497,3,PTA Check Your State Pension,"Having 45 yrs contributions and having retired at 60yrs dont understand why Im not getting full pension amount, even though Ive 45 yrs contributions.",0.0
498,5,PTA Check Your State Pension,self explanatory easy site to negotiate,0.0
499,4,PTA P800,It was not obvious when logged in when to look for the 'Refund' section,0.0
500,5,PTA PERTAX,Easy to navigate,0.0
501,5,PTA Repayments,simple and easy to follow.,0.0
502,3,PTA Check Your State Pension,"Because I was unable to identify that I have a shortage in NI for the last 3 years, since I retired, but I do not understand why this is so.    If it is because I am living off of my [REMOVED] and small [REMOVED] Pension.... and they do not reach a threshold such that I am not contributing enough NI per anum - but that is not my fault is it?  How can I change this - as I assume if retired and this continues up to 2026, I will have 3 more years of the below NI Contributions per anum - which will presumably affect my [REMOVED].  How do I mitigate this?",3.0
503,5,PTA P800,always easy to use ??,0.0
504,5,PTA Check Your State Pension,Have used the service before and find it very intuitive and straight forward to use.,0.0
505,3,PTA Check Income Tax,Account log in cancelled and problems receiving Access code to set up new log in,0.0
506,2,PTA PERTAX,"I want to tell you something, but there is no option for this.",0.0
507,5,PTA PERTAX,Easy and clear to update details.,0.0
508,1,PTA PERTAX,It's so hard that I give up severally for these services,0.0
509,1,PTA Check Your State Pension,"Slow progress on requested form completed and submitted in February 2023.

I know department and staff are busy, however, I an individual; took as long to reply to a request from HMRC, I/m sure there would be penalties applied to the individual.

If nothing else, please keep people informed of progress and reasons for delay etc.",0.0
510,4,PTA PERTAX,i did not have any problems,0.0
511,4,PTA PERTAX,i did not have any problems,0.0
512,4,PTA PERTAX,I have 2 private pensions paying tax on both pensions. I wanted to amalgamate  my tax allowance to 1 private pension and pay basic rate tax on the other.,0.0
513,4,PTA PERTAX,Very clear to complete.,0.0
514,5,PTA Store NINO,Process was secure and seamless.,0.0
515,5,PTA Check Your State Pension,Easy to follow,0.0
516,4,PTA Tax Credits Service,Easy to view and make adjustments to figures,0.0
517,5,PTA Check Your State Pension,Very quick efficient service provided - excellent,0.0
518,5,PTA PERTAX,Only took 5 mins to complete,0.0
519,2,PTA Check Income Tax,"Could not find out about Personal tax, too complicated, should be easier threads to find what one wants",0.0
520,5,PTA PERTAX,Easy to use and request refund.,0.0
521,5,PTA Repayments,"As far as I'm aware, what I needed to do is being processed and was done so very easily",0.0
522,5,PTA Check Your State Pension,"Clear instructions,  so easy to navigate",0.0
523,5,PTA Check Your State Pension,I was able to reset my password and then access my information very quickly.,0.0
524,5,PTA Track Your Form,Very straight forward steps.,0.0
525,3,PTA Marriage Allowance,I am owed 22-00 from Aviva according to my P60. Voucher.i cannot seem to find how I get my rebate back,0.0
526,1,PTA Repayments,"It is ridiculous to have such a long sign in process. You give 12 digit pin and code and verify by tx. Then you have to have NI, [REMOVED] Diving licence at hand it is torture. If one thing is wrong you don't even highlight it.
This is madness. If a person has digits and password that should be enough to get basic stuff done. Like a refund. Very frustrating to use this service. God help anybody who is not tech savy. Very poor to elderly clients.",1.0
527,3,PTA PERTAX,Had scans of tax certificates to add. Had to convert to pdf to add. Would have been useful if I could to add in the picture formats such as png or jpeg directly.,0.0
528,3,PTA PERTAX,"Find it confusing that having submitted my 2022/23 tax return on line which confirms income tax due of <moneyvalue>, I paid <moneyvalue> on 04/07/23 and when checking today to make sure it is entered on my record - it says I am due a repayment of <moneyvalue>. Very misleading. Whilst I know that technically it is not due until 31/01/24, if it is paid before the due date then the account should show that Nil tax is due and the account is clear for the tax year. Kepp tax simple please!",0.0
529,3,PTA PERTAX,"You have to have all personal details to hand, a laptop have and a smart phone. I will know if this has worked OK after I receive my tax refund.",0.0
530,4,PTA Repayments,A few too many questions asked in my opinion but easy to follow instructions.,0.0
531,5,PTA Repayments,Simple straight forward site to use. Lovely!,0.0
532,5,PTA Check Income Tax,Good site navigation and ease of access once data input is correct.,0.0
533,1,PTA Check Your State Pension,Because my home address is incorrect and I was not able to edit it as the country I live in was not recognised ie ENGLAND or UK,0.0
534,5,PTA PERTAX,"It was not only easy, it was quick too",0.0
535,5,PTA PERTAX,I feel this way,0.0
536,5,PTA Repayments,it was all very easy with no difficulty,0.0
537,4,PTA Check Income Tax,"Got my tax refund:-200 on 1,000;thank you.But still NOT reflected on my online account yet,days later?",0.0
538,1,PTA Tax Credits Service,I wanted to view my tax credits and change location but was advised i could not do this online! What is the point of going through all of the security checks only to be advised that a service is not available.,0.0
539,4,PTA Check Your State Pension,Getting the Gov ID check app was v difficult,0.0
540,5,PTA Check Income Tax,The process explained clearly what was required and provided a facility to renew a forgotten password using a texted passcode.,0.0
541,4,PTA PERTAX,Once i found relevant link,0.0
542,5,PTA Check Your State Pension,"Only because I had to set up a [REMOVED] account, should be easy next time.",1.0
543,5,PTA Check Your State Pension,Because what I was trying to do seemed to have happened first time of trying!,0.0
544,5,PTA Check Your State Pension,Easy to use,0.0
545,1,PTA P800,Would  it let me sign in. This happens every time.,0.0
546,4,PTA PERTAX,I was looking for information on mistake pension,0.0
547,1,PTA Repayments,TRIED TO CLAIM TAX REFUND BUT WAS UNABLE .,0.0
548,5,PTA Track Your Form,Everything self explanatory. Thank you.,0.0
549,5,PTA Repayments,VERY GOOD STEP BY STEP GUIDE.,0.0
550,1,PTA PERTAX,Need to change my telephone number contact and was unable to change. No facility to do so?,0.0
551,3,PTA Check Your State Pension,The information is conflicting. It is stated that I need 35 years to qualify for a full new [REMOVED]. I have 38 but the system states that I have a shortfall.,1.0
552,5,PTA Repayments,because it was easy,0.0
553,4,PTA Repayments,I had to sign in twice,0.0
554,1,PTA PERTAX,Wished to pay self assessment balance but could not access my account.,0.0
555,5,PTA P800,Very straight forward to understand.,0.0
556,4,PTA PERTAX,Any difficulty was just the unfamiliarity,0.0
557,4,PTA PERTAX,Some of the instructions were very wordy and technical.,0.0
558,5,PTA Repayments,Simple and straightforward - easy navigation.,0.0
559,4,PTA Track Your Form,Simple to use,0.0
560,5,PTA Check Your State Pension,The process was straightforward.,0.0
561,4,PTA Check Income Tax,"Username not clear, would have been helpful to have an information box",0.0
562,5,PTA PERTAX,had no problems at all. quick and simple to use.,0.0
563,4,PTA Repayments,"because its minimum steps, and takes less than 5 minutes",0.0
564,5,PTA Check Your State Pension,Because it was easy,0.0
565,3,PTA Check Income Tax,"I do not find it easy to reconcile the numbers shown on my personal tax account with the seemingly contradictory letters I receive about changes to my tax code, claims that I owe tax then a refund on tax overpaid!",0.0
566,2,PTA P800,"Why does it take so long for HMRC to process my letter received by HMRC on 17/05/23 giving full details of the bank interest received for 2022/23 to enable an assessment to be issued so I can pay the tax due as soon as possible.
It is now 09/07/23 - 7.5 weeks have passed by and no action has been taken.",0.0
567,2,PTA Track Your Form,Was sent a letter p800 refund and how to claim the money owed but then after putting in all information asked was Told couldnt claim yet ?,0.0
568,5,PTA Repayments,Make it very clear the documents you need before you start,0.0
569,5,PTA Repayments,because it was very easy,0.0
570,5,PTA Repayments,very straightforward questions and options how to verify,0.0
571,5,PTA Check Your State Pension,Easy peasy to use exactly how you want to use an online service - brilliant and thank you,0.0
572,5,PTA P800,"To help improve the services and because i liked went very efficient, thank you, [REMOVED]",2.0
573,3,PTA PERTAX,It worked OK,0.0
574,1,PTA Track Your Form,"I wanted to send a query to you regarding the fact that you are deducting tax from a pension when my total earnings including this pension are well under the personal allowance.  I updated my figures on the personal account last September, but still tax is being taken.  I want to request a refund for the tax taken to date and not have further tax taken from this monthly amount, but there is no way to contact you (at least as far as I can see and I looked at every page on the site!).",0.0
575,,PTA PERTAX,Would not originally recognise [REMOVED],1.0
576,3,PTA PERTAX,annual statements don show total income i.e. pte pension +state pension except for current year,0.0
577,5,PTA PERTAX,Because I really found what I was looking for clearly explained.,0.0
578,5,PTA Check Your State Pension,Everything is clearly laid out with links to useful reference guides. The site pages are clear and uncluttered which is useful for focusing on the core information.,0.0
579,4,PTA PERTAX,Navigation is simple,0.0
580,3,PTA Repayments,Not clear on what I had to enter to login,0.0
581,4,PTA PERTAX,The questions are straight forward and mostly only require a 'yes' or 'no' answer.,0.0
582,5,PTA Repayments,Found the process easy,0.0
583,4,PTA PERTAX,Little bit of going backwards and forwards,0.0
584,,PTA P800,The P800 calculation is incorrect and this site does not allow me to give details of extra income for the year.,0.0
585,5,PTA Repayments,Website was easy to use.  Was able to complete task easily and quickly.,0.0
586,5,PTA Check Your State Pension,Want to get tax refund and already had Gateway account so very simple as very few questions,0.0
587,5,PTA Check Your State Pension,Very easy to understand.,0.0
588,3,PTA Repayments,Asking for banks address of whare the account is held ??? I opened the account many years ago and its now closed on the [REMOVED] so not sure how to answer this,1.0
589,2,PTA PERTAX,Unable to do what I wanted to do was told to try again later,0.0
590,5,PTA PERTAX,Easy to understand and quick.,0.0
591,1,PTA Track Your Form,"The page was not helpful at all. I still have to call to resolve the issue. There was no detail of how my tax was calculated, just a summary which was no help",0.0
592,4,PTA Repayments,Need more instructions for Face ID,0.0
593,3,PTA PERTAX,I tried to amend my address the system would not allow me to do so,0.0
594,5,PTA Repayments,Not at all hard,0.0
595,1,PTA PERTAX,"cannot find a way of contacting HMRC on line. would like a review of my PAYE, payments for 22/23, please contact me.<phonenumber>",0.0
596,5,PTA Repayments,Very clear instructions,0.0
597,5,PTA Repayments,No hassle signing it and very plain and simple to follow,0.0
598,2,PTA PERTAX,I want to remove an accountant from my account but couldn't find a way to do it.,0.0
599,5,PTA Check Income Tax,I found the information I needed,0.0
600,5,PTA Check Income Tax,Very easy thanks,0.0
601,3,PTA Check Your State Pension,My voluntary contribution is not showing.,0.0
602,1,PTA PERTAX,hmrc website like all government websites are ridiculously hard to navigate.  why do you make it so hard to pay tax ?,0.0
603,3,PTA PERTAX,Didn't know which correct box to put in earnings,0.0
604,5,PTA Repayments,Very simple to follow instructions.,0.0
605,3,PTA Check Your State Pension,Found some information I required but now need to ask a question but don't know where to go to ask,0.0
606,3,PTA Check Your State Pension,I wish to make a voluntary national Insurance contribution but could not find details of how to pay,0.0
607,2,PTA Check Your State Pension,"Too many questions re loans and credit which we dont have and took several attempts to remember mobile agreements... annoying as we had all our other legal docs, particularly passport...this will be confusing for elderly people",0.0
608,2,PTA PERTAX,I was trying to sign in to do the self assessment and it kept asking me for more details each time so it has taken considerably longer that it would normally do.,0.0
609,5,PTA Repayments,I already had a Gateway id so all was very easy.,0.0
610,5,PTA PERTAX,Being not very tech minded I managed to navigate the instructions perfectly,0.0
611,5,PTA Repayments,A few clicks and I got to where I needed to be,0.0
612,3,PTA Check Your State Pension,There is no on line link showing to pay voluntary NI contributions.,0.0
613,5,PTA PERTAX,It was easy to follow,0.0
614,3,PTA PERTAX,I could not find the information I needed,0.0
615,2,PTA PERTAX,"I was unable to see my payments of pension contributions refund on my account for 2022/23 for either NHS or civil service pensions and the tax I suffered.
I would have thought that real time information would show these figures.
I have already been waiting 8 months to have my tax refunded.",0.0
616,4,PTA Check Income Tax,Just found it easy.,0.0
617,5,PTA Check Your State Pension,simple to follow,0.0
618,5,PTA Check Income Tax,Not difficult at all.,0.0
619,3,PTA PERTAX,I was unable to check for an update to my outstanding child benefit claim. Not registered on the system yet?,0.0
620,5,PTA Check Your State Pension,Always is easy,0.0
621,5,PTA Repayments,"Easy website to navigate. 
Quick and very effective",0.0
622,5,PTA Repayments,The instructions were very clear and easy to follow.,0.0
623,5,PTA Check Income Tax,Very easy to use.,0.0
624,5,PTA Check Your State Pension,couple of clicks and I had teh information that I was looking for,0.0
625,3,PTA Tax Credits Renewals,Some questions are ambiguous.,0.0
626,5,PTA PERTAX,Excellent service. Thank you.,0.0
627,5,PTA Repayments,"Quick, straightforward, easy to understand",0.0
628,4,PTA Check Your State Pension,I couldn't see it mentioned anywhere the number of qualifying years needed to get the full state pension.,
629,1,PTA P800,"login= 100 times
password= 100 times
TAX deduction= very prompt
TAX refund= takes ages, more than 3 months now
NOT FAIR",
630,3,PTA Repayments,It was a long process,
631,5,PTA PERTAX,"You sent a secure email, I went on the website and did what needed to be done easily",
632,4,PTA PERTAX,Once I signed in it was easy to find the information I was  looking for.,
633,5,PTA Repayments,Well presented and easy to follow.,
634,3,PTA Check Income Tax,"Access to detailed incomes and tax for previous years not easy to access or not available. If other private pensions are shown as income, WHY NOT STATE  PENSION?",
635,5,PTA P800,"I'd accomplished all I'd set out to do in the shortest time, very easy to use.",
636,5,PTA PERTAX,Fast and great.,
637,5,PTA Repayments,very easy to get in my account and sorted out quickly,
638,5,PTA PERTAX,The service is very useful,
639,5,PTA P800,"Finally a digital way to get access codes. As an expat, I didn't have the previously needed credentials of a UK postal code",
640,4,PTA P800,"I completed the process, however towards the end I was not sure if the application was successful or not.",
641,5,PTA P800,site easy to navigate,
642,5,PTA Tax Credits Service,because is very simple to do,
643,2,PTA PERTAX,New tax code change included an figure for unpaid tax in current year 23/24 with no explanation on how the amount was derived or how the amount used to changed the tax code was derived from the unpaid tax amount.  I couldn't work it out.,
644,4,PTA Check Your State Pension,Because it was easy...,
645,5,PTA Check Your State Pension,Instructions are clear enough and straight forward.,
646,4,PTA PERTAX,Easy to follow instructions and quick but the app had difficulty confirming identity,
647,5,PTA Track Your Form,very easy to understand the information given to me,
648,4,PTA Check Your State Pension,"Was just double -checking to see if what I thought was correct was, in fact, correct.",
649,3,PTA Track Your Form,"Could find some information but not all.
Whilst the information advises that 2 years of NI payments are required, there are no ways to pay.",
650,5,PTA Tax Credits Service,Everything was done efficiently and how I wanted it.,
651,1,PTA PERTAX,I JUST WANTED TO CHANGE MY TELEPHONE NUMBER,
652,5,PTA PERTAX,excellent and very easy to access portal,
653,5,PTA PERTAX,Easy to navigate through the service,
654,4,PTA Check Your State Pension,I had put all my correct information in and it said it was wrong so I had to use a separate method. Probably because I only have a provisional license. [REMOVED] not certain as it wasnt stated if it would or wouldnt work.,
655,4,PTA Check Your State Pension,The signup wasn't the easiest thing I've ever done. Clearly my initial attempts were due to typos or misinterpreting the prompts because it worked eventually. I would've appreciated some feedback on the validation that failed.,
